promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
7.7,3.0,22,5,90.0,2.0,0.0,5.0,1,3,1,1,1,1,0,2,0,2,2
7.0,3.0,22,5,90.0,2.0,0.0,6.0,4,3,1,1,2,1,0,1,0,2,2
7.7,0.0,20,3,100.0,2.0,0.0,4.0,3,3,1,1,1,1,0,1,0,1,1
7.9,4.0,22,4,150.0,8.0,0.0,4.0,2,3,0,0,2,1,0,2,0,2,2
8.0,4.0,22,1,30.0,2.0,4.0,6.0,1,3,1,1,1,0,1,2,0,2,2
8.5,1.0,20,5,150.0,2.0,0.0,5.0,4,3,0,0,1,0,0,2,0,2,2
8.0,3.0,23,3,120.0,10.0,0.0,6.0,2,3,0,0,2,1,0,2,0,2,2
8.5,3.0,20,5,150.0,8.0,0.0,6.0,1,3,1,0,1,1,0,2,0,2,2
7.4,1.0,21,4,80.0,1.0,0.0,6.0,1,3,1,1,2,0,0,2,0,2,2
8.5,0.0,21,5,150.0,6.0,0.0,5.0,1,3,0,0,1,1,0,2,0,2,2
7.8,5.0,22,3,180.0,5.0,5.0,5.0,3,3,0,0,1,1,1,2,0,2,2
7.7,6.0,21,3,45.0,4.0,0.0,7.0,3,3,1,0,1,1,1,2,0,0,2
8.6,3.0,24,3,90.0,4.0,0.0,4.0,4,3,0,0,1,1,0,2,0,1,0
8.3,0.0,22,5,10.0,8.0,0.0,5.0,3,3,1,1,1,1,1,2,0,2,2
7.0,2.0,22,2,120.0,2.0,0.0,6.0,4,3,0,0,1,1,0,2,0,2,2
8.1,0.0,22,5,140.0,3.0,0.0,4.0,3,3,1,0,1,1,0,2,0,2,2
9.4,1.0,23,5,40.0,4.0,0.0,7.0,4,3,0,0,1,1,1,2,0,2,2
